file_path,file_name,container,video_codec,audio_codec,resolution_x,resolution_y,duration,path,filename,season,episode,series
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E02.mkv,To_Be Hero_S01_E02.mkv,mkv,h264,aac,1920,1080,00:12:16.089000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E02.mkv,To_Be Hero_S01_E02.mkv,1,2,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E03.mkv,To_Be Hero_S01_E03.mkv,mkv,h264,aac,1920,1080,00:11:21.719000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E03.mkv,To_Be Hero_S01_E03.mkv,1,3,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E04.mkv,To_Be Hero_S01_E04.mkv,mkv,h264,aac,1920,1080,00:14:47.116000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E04.mkv,To_Be Hero_S01_E04.mkv,1,4,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E05.mkv,To_Be Hero_S01_E05.mkv,mkv,h264,aac,1920,1080,00:14:44.271000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E05.mkv,To_Be Hero_S01_E05.mkv,1,5,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E06.mkv,To_Be Hero_S01_E06.mkv,mkv,h264,aac,1920,1080,00:11:17.503000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E06.mkv,To_Be Hero_S01_E06.mkv,1,6,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E07.mkv,To_Be Hero_S01_E07.mkv,mkv,h264,aac,1920,1080,00:11:37.876000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E07.mkv,To_Be Hero_S01_E07.mkv,1,7,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E08.mkv,To_Be Hero_S01_E08.mkv,mkv,h264,aac,1920,1080,00:12:29.190000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E08.mkv,To_Be Hero_S01_E08.mkv,1,8,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E09.mkv,To_Be Hero_S01_E09.mkv,mkv,h264,aac,1920,1080,00:12:08.327000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E09.mkv,To_Be Hero_S01_E09.mkv,1,9,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E10.mkv,To_Be Hero_S01_E10.mkv,mkv,h264,aac,1920,1080,00:12:13.359000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E10.mkv,To_Be Hero_S01_E10.mkv,1,10,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E11.mkv,To_Be Hero_S01_E11.mkv,mkv,h264,aac,1920,1080,00:12:01.075000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E11.mkv,To_Be Hero_S01_E11.mkv,1,11,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E12.mkv,To_Be Hero_S01_E12.mkv,mkv,h264,aac,1920,1080,00:16:04.170000000,E:/z_project_extract/To Be Hero/Season 1/To_Be Hero_S01_E12.mkv,To_Be Hero_S01_E12.mkv,1,12,To Be Hero
