file_path,file_name,lines,type,path,filename,season,episode,series
E:/z_project_extract/The Outcast/Season 2/Subtitles/Outcast_S02_E03.txt,Outcast_S02_E03.txt,126,txt,E:/z_project_extract/The Outcast/Season 2/Subtitles/Outcast_S02_E03.txt,Outcast_S02_E03.txt,2,3,The Outcast
E:/z_project_extract/The Outcast/Season 2/Subtitles/Outcast_S02_E10.txt,Outcast_S02_E10.txt,45,txt,E:/z_project_extract/The Outcast/Season 2/Subtitles/Outcast_S02_E10.txt,Outcast_S02_E10.txt,2,10,The Outcast
