file_path,file_name,lines,type,path,filename,season,episode,series
E:/z_project_extract/The Outcast/Season 4/Subtitles/Outcast_S04_E09.eng.ass,Outcast_S04_E09.eng.ass,429,ass,E:/z_project_extract/The Outcast/Season 4/Subtitles/Outcast_S04_E09.eng.ass,Outcast_S04_E09.eng.ass,4,9,The Outcast
E:/z_project_extract/The Outcast/Season 4/Subtitles/Outcast_S04_E10.eng.ass,Outcast_S04_E10.eng.ass,484,ass,E:/z_project_extract/The Outcast/Season 4/Subtitles/Outcast_S04_E10.eng.ass,Outcast_S04_E10.eng.ass,4,10,The Outcast
E:/z_project_extract/The Outcast/Season 4/Subtitles/Outcast_S04_E11.eng.ass,Outcast_S04_E11.eng.ass,370,ass,E:/z_project_extract/The Outcast/Season 4/Subtitles/Outcast_S04_E11.eng.ass,Outcast_S04_E11.eng.ass,4,11,The Outcast
E:/z_project_extract/The Outcast/Season 4/Subtitles/Outcast_S04_E12.eng.ass,Outcast_S04_E12.eng.ass,317,ass,E:/z_project_extract/The Outcast/Season 4/Subtitles/Outcast_S04_E12.eng.ass,Outcast_S04_E12.eng.ass,4,12,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E01.eng.ass,Outcast_S05_E01.eng.ass,470,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E01.eng.ass,Outcast_S05_E01.eng.ass,5,1,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E02.eng.ass,Outcast_S05_E02.eng.ass,394,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E02.eng.ass,Outcast_S05_E02.eng.ass,5,2,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E03.eng.ass,Outcast_S05_E03.eng.ass,534,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E03.eng.ass,Outcast_S05_E03.eng.ass,5,3,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E04.eng.ass,Outcast_S05_E04.eng.ass,449,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E04.eng.ass,Outcast_S05_E04.eng.ass,5,4,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E05.eng.ass,Outcast_S05_E05.eng.ass,425,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E05.eng.ass,Outcast_S05_E05.eng.ass,5,5,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E06.eng.ass,Outcast_S05_E06.eng.ass,428,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E06.eng.ass,Outcast_S05_E06.eng.ass,5,6,The Outcast
